id,name,cleaned
383f444c13ac05a0449ab6f2b5c89126207d0e4192df82d349109dab7bed6111,amd ryzen 5 5600x (3.7 ghz / 4.6 ghz) tray,amd ryzen 5 5600x
2e663468cb402eaafdb7090cb3268a7175d1cd1a6849163f5d2dc4a55b961863,amd ryzen 5 5600xt wraith stealth (3.7 ghz / 4.7 ghz),amd ryzen 5 5600xt wraith stealth
ccbe7cc4f460083b0b6690d842f4facce562cbb126c0ac078df72c6dfc551d74,amd ryzen 5 5600xt wraith stealth (3.7 ghz / 4.7 ghz),amd ryzen 5 5600xt wraith stealth
64cb5e97d9efa60e69cb170bd32eaa458e47ad8623d64cd19d7bbf4150a3fcd7,amd ryzen 5 7500f wraith stealth (3.7 ghz / 5.0 ghz),amd ryzen 5 7500f wraith stealth
260fd3afdb3b748565ed93d55f40f863bc8524c47951ce5b7a51ea77274c1827,amd ryzen 5 7600  tray,amd ryzen 5 7600
6c8d3e1353d606fb132df1fc522e88772305ec74acec67b85776f3ccdef0d4ac,amd ryzen 5 7600 (3.8 ghz  5.1 ghz) tray,amd ryzen 5 7600
a011ab32381ee9f867fb13a535d22a28a590c99d91765f434eb8829c560fb43c,amd ryzen 5 7600 (3.8 ghz / 5.1 ghz),amd ryzen 5 7600
f3e18ea927fd768188b5aecaf546139e6e75672920a47444f14a7d51cb34d1a1,amd ryzen 5 7600 (3.8 ghz / 5.1 ghz) tray,amd ryzen 5 7600
fc537d3337222f9a952e4215746d47b69e4d420869a5673310fa68abd02c6b96,amd ryzen 5 7600x (4.7 ghz / 5.3 ghz),amd ryzen 5 7600x
fe524139c7378be62190f476eec6e89086cd84bcd0d870b5b9c747e5e1387697,amd ryzen 5 7600x (4.7 ghz / 5.3 ghz),amd ryzen 5 7600x
5e4911cf3ddc030da859bf54d1e8a37cada1e729da60ff2c433fa2301d2067f9,amd ryzen 5 8400f wraith stealth (4.2 ghz / 4.7 ghz),amd ryzen 5 8400f wraith stealth
a81e08d76425960577f859d9dd8c63c5d859ae76cacaef2229c70c5c25d6fb5a,amd ryzen 5 8500g wraith stealth (3.5 ghz / 5.0 ghz),amd ryzen 5 8500g wraith stealth
9ad5741958af76cfa0bee3935702c7afbb46943ac7955b54c530f6206430a10c,amd ryzen 5 8600g wraith stealth (4.3 ghz / 5.0 ghz),amd ryzen 5 8600g wraith stealth
593ba7e6d0e5ccfe998140a42d981f8597e59a07af938079daeb5fe5281ef414,amd ryzen 5 8600g wraith stealth (4.3 ghz / 5.0 ghz) tray,amd ryzen 5 8600g wraith stealth
3ddb9cb3ed64ffdb2ad515094d58aa00918365b3e44824ad1f327e4c229a0644,amd ryzen 5 8600g wraith stealth (4.3 ghz / 5.0 ghz) tray,amd ryzen 5 8600g wraith stealth
6ace5be56403ded26953c1dc4df6c9b930ca07418605262c9a844fb6990456a2,amd ryzen 5 9600x (3.9 ghz / 5.4 ghz),amd ryzen 5 9600x
86f881cb2d69c03557ddd3272ba812315eca272a983b9c39d89567cab2a62fda,amd ryzen 5 9600x (3.9 ghz / 5.4 ghz) tray,amd ryzen 5 9600x
54d1cacfa0a512292d2e7b5ee5b60616170c32d93272166ac56c7d9bb049db97,amd ryzen 5 9600x (3.9 ghz / 5.4 ghz) tray,amd ryzen 5 9600x
92a10ed8ba9a81218a3ae1cb32574b0377e3aefcc34a8ab8923663ac37e1489e,amd ryzen 5 pro 5655g (3.9 ghz / 4.4 ghz) mpk,amd ryzen 5 pro 5655g mpk
b87ffbb9f9e8c4b5acfb2929cf5b41b65bc836f891c6a60bfa29bd4cf3ad7631,amd ryzen 5 pro 5655g (3.9 ghz / 4.4 ghz) mpk,amd ryzen 5 pro 5655g mpk
73e39a78fc499e8017b7730622c449b0abc7a9e789bd4e108ccce8dca3542744,amd ryzen 7 5700g wraith stealth (3.8 ghz / 4.6 ghz) tray,amd ryzen 7 5700g wraith stealth
